"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.351546583E0,7.658898830E-1,2.229322433E0,-4.842950702E-1
3.373277583E0,-1.459748894E-1,2.470056772E0,-5.851763487E-1
3.395038583E0,-1.049220920E0,1.551908731E0,-3.267687857E-1
3.416824583E0,-1.681603789E0,5.668761730E-1,-2.979411185E-1
3.438583583E0,-1.763259053E0,-8.632013202E-2,-5.168116689E-1
3.460343583E0,-1.138580799E0,9.829263687E-1,-8.238110542E-1
3.482078583E0,-1.900407374E-1,1.431091785E0,-4.784038365E-1
3.503853583E0,6.464453340E-1,1.415130258E0,8.778397739E-2
3.525619583E0,1.293810248E0,1.022167683E0,2.908092737E-1
3.547378583E0,1.695110321E0,5.265751481E-1,9.029483050E-2
3.569144583E0,1.573897600E0,6.008063555E-1,-3.848959208E-1
3.590897583E0,8.883570433E-1,5.846672058E-1,-2.759198844E-1
3.612655583E0,4.179316759E-1,6.265583038E-1,3.664494678E-2
3.634422583E0,2.824529707E-1,4.164891839E-1,3.160865903E-1
3.656174583E0,2.140323818E-1,3.124347925E-1,1.562189013E-1
3.677936583E0,-3.086560033E-2,6.113172174E-1,-5.631838739E-2
3.699691583E0,-3.736514449E-1,7.026571035E-1,-2.427772582E-1
3.721450583E0,-3.137958944E-1,5.560107827E-1,-3.052728474E-1
3.743209583E0,6.858426146E-3,1.774993390E-1,-2.214032412E-1
3.764969583E0,4.129103124E-1,1.380931213E-2,-3.762934804E-1
3.786727583E0,6.928066611E-1,1.172986701E-1,-6.070919037E-1
3.808487583E0,6.592166424E-1,1.431836635E-1,-5.941545367E-1
3.830245583E0,5.387498140E-1,7.874918729E-2,-3.031399846E-1
3.852004583E0,6.173116565E-1,3.400922418E-1,-4.660018682E-1
3.873765583E0,6.659528613E-1,9.851536751E-1,-8.023627996E-1
3.895553583E0,5.416096449E-1,7.642682791E-1,-5.790189505E-1
3.917313583E0,6.520308852E-1,2.400762886E-1,-2.385487109E-1
3.939071583E0,1.018920064E0,8.705654740E-2,-7.292910665E-2
3.960830583E0,1.113153815E0,3.638656437E-1,1.042241156E-1
3.982584583E0,8.474045992E-1,6.408137679E-1,-1.602304280E-1
4.004343583E0,6.124309897E-1,9.313511848E-1,-4.301607013E-1
4.026107583E0,5.055082440E-1,9.791646600E-1,-3.028038740E-1
4.047866583E0,6.069134474E-1,8.146067262E-1,-2.139110304E-2
4.069614583E0,6.563423872E-1,6.879621148E-1,1.034126207E-1
4.091384583E0,5.782338977E-1,4.288412631E-1,8.060186356E-2
4.113144583E0,5.109603405E-1,1.263930798E-1,7.716052979E-2
