"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.394097417E0,-1.367742157E1,-2.240070724E1,3.371770859E1
2.415867417E0,-1.349058437E1,-2.222422600E1,3.390922165E1
2.437610417E0,-1.382826328E1,-2.145188904E1,3.426868820E1
2.459394417E0,-1.469754887E1,-2.064613724E1,3.440154648E1
2.481128417E0,-1.730448723E1,-1.922598648E1,3.400976181E1
2.502900417E0,-2.151120186E1,-1.794712448E1,3.226323700E1
2.524676417E0,-2.699657249E1,-1.628955650E1,2.883717537E1
2.546437417E0,-3.315058899E1,-1.405478001E1,2.300541687E1
2.568195417E0,-3.704496002E1,-1.233948708E1,1.735383987E1
2.589954417E0,-4.047902298E1,-1.066061783E1,8.575960159E0
2.611713417E0,-4.146099091E1,-1.015029812E1,-1.924869537E0
2.633472417E0,-3.947438049E1,-1.061866188E1,-1.244045544E1
2.655231417E0,-3.500177002E1,-1.212033176E1,-2.130073357E1
2.676990417E0,-2.894388580E1,-1.479400826E1,-2.773330688E1
2.698755417E0,-2.169861221E1,-1.753752708E1,-3.236282730E1
2.720508417E0,-1.596667480E1,-1.906664276E1,-3.474587250E1
2.742267417E0,-7.783288479E0,-2.099367332E1,-3.639276886E1
2.764034417E0,-3.182474136E0,-2.247108269E1,-3.620317078E1
2.785785417E0,3.871564865E-1,-2.435635376E1,-3.510506439E1
2.807548417E0,2.240763187E0,-2.600385857E1,-3.383084106E1
2.829303417E0,3.757300377E0,-2.777726555E1,-3.224985886E1
2.851062417E0,4.738502979E0,-2.920631027E1,-3.082669830E1
2.872822417E0,5.321650505E0,-3.010778809E1,-2.984876060E1
2.894585417E0,5.711638451E0,-3.067391205E1,-2.919307327E1
2.916339417E0,6.359726906E0,-3.102747726E1,-2.868095016E1
2.938099417E0,6.883670807E0,-3.115799141E1,-2.841728592E1
2.959857417E0,6.787096977E0,-3.112563896E1,-2.847591019E1
2.981616417E0,6.719466686E0,-3.102363205E1,-2.860298157E1
3.003374417E0,7.511167049E0,-3.119245720E1,-2.821986008E1
3.025133417E0,8.942083359E0,-3.173483467E1,-2.717879105E1
3.046893417E0,9.635274887E0,-3.179421806E1,-2.687073898E1
3.068652417E0,9.894317627E0,-3.185752869E1,-2.670108032E1
3.090419417E0,9.845108032E0,-3.212601471E1,-2.639584160E1
3.112201417E0,9.793602943E0,-3.244339752E1,-2.602419090E1
3.133960417E0,9.796573639E0,-3.241658401E1,-2.605646896E1
3.155719417E0,9.746191978E0,-3.224153519E1,-2.629149246E1
3.177478417E0,9.412602425E0,-3.232837677E1,-2.630639267E1
3.199219417E0,9.045833588E0,-3.250145721E1,-2.622166061E1
3.220997417E0,8.950757027E0,-3.256099319E1,-2.618039703E1
3.242755417E0,8.891479492E0,-3.256522369E1,-2.619532776E1
3.264515417E0,8.694396019E0,-3.268388748E1,-2.611356926E1
3.286273417E0,8.495660782E0,-3.277282333E1,-2.606747437E1
3.308033417E0,8.262048721E0,-3.292670441E1,-2.594837570E1
3.329791417E0,8.172433853E0,-3.292250443E1,-2.598205566E1
3.351550417E0,8.070571899E0,-3.283148193E1,-2.612866402E1
3.373309417E0,7.938390732E0,-3.262018585E1,-2.643204498E1
3.395071417E0,8.018849373E0,-3.248806000E1,-2.657012177E1
3.416827417E0,7.981246948E0,-3.258739090E1,-2.645957565E1
3.438587417E0,7.857214928E0,-3.287065125E1,-2.614444351E1
3.460345417E0,7.827141285E0,-3.299226379E1,-2.599988365E1
