"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.502630000E0,-1.384889984E1,-2.378377914E1,3.753828812E1
2.524388000E0,-1.381066513E1,-2.385235214E1,3.750884628E1
2.546147000E0,-1.379419231E1,-2.387251854E1,3.750208664E1
2.567920000E0,-1.378352451E1,-2.388955879E1,3.749515533E1
2.589665000E0,-1.377721882E1,-2.389698029E1,3.749273682E1
2.611438000E0,-1.376996994E1,-2.389384270E1,3.749740601E1
2.633213000E0,-1.376470089E1,-2.388762474E1,3.750329971E1
2.654973000E0,-1.375174999E1,-2.389727020E1,3.750190735E1
2.676723000E0,-1.375845146E1,-2.386267853E1,3.752147675E1
2.698492000E0,-1.375913239E1,-2.385087395E1,3.752872849E1
2.720244000E0,-1.374952602E1,-2.385968971E1,3.752663803E1
2.742004000E0,-1.375870132E1,-2.381668282E1,3.755058670E1
2.763768000E0,-1.375031853E1,-2.382987404E1,3.754529572E1
2.785527000E0,-1.377355862E1,-2.376235771E1,3.757954788E1
2.807316000E0,-1.379597759E1,-2.369282532E1,3.761521149E1
2.829075000E0,-1.381295967E1,-2.364105606E1,3.764154053E1
2.850834000E0,-1.383435249E1,-2.357316589E1,3.767624664E1
2.872578000E0,-1.385727024E1,-2.350370026E1,3.771120453E1
2.894352000E0,-1.378950882E1,-2.365433121E1,3.764179993E1
2.916111000E0,-1.374787521E1,-2.373200989E1,3.760812378E1
2.937870000E0,-1.377054024E1,-2.366323280E1,3.764314651E1
2.959629000E0,-1.379379272E1,-2.359353638E1,3.767836761E1
2.981409000E0,-1.374594879E1,-2.369922638E1,3.762949371E1
3.003162000E0,-1.370077705E1,-2.379024315E1,3.758851242E1
3.024937000E0,-1.366499138E1,-2.386235046E1,3.755581665E1
3.046696000E0,-1.365737057E1,-2.387240791E1,3.755219650E1
3.068461000E0,-1.365346146E1,-2.385400009E1,3.756531143E1
3.090215000E0,-1.363966370E1,-2.388237381E1,3.755229568E1
3.111973000E0,-1.362111855E1,-2.391671371E1,3.753717041E1
3.133739000E0,-1.364965153E1,-2.383183861E1,3.758076096E1
3.155491000E0,-1.362048244E1,-2.388475418E1,3.755774689E1
3.177250000E0,-1.364377880E1,-2.381575966E1,3.759308243E1
3.199009000E0,-1.366472721E1,-2.374770355E1,3.762851334E1
3.220799000E0,-1.364489460E1,-2.377431679E1,3.761890411E1
3.243050875E0,-1.360699177E1,-2.384989738E1,3.758477402E1
3.264809875E0,-1.357961559E1,-2.389674950E1,3.756491089E1
3.286568875E0,-1.360217667E1,-2.382803917E1,3.760037994E1
3.308327875E0,-1.362391853E1,-2.376043701E1,3.763526917E1
3.330086875E0,-1.357986164E1,-2.385427094E1,3.759180832E1
3.351845875E0,-1.355527115E1,-2.390323067E1,3.756957245E1
3.373607875E0,-1.355309486E1,-2.389688683E1,3.757439804E1
3.395363875E0,-1.357494259E1,-2.382947350E1,3.760931396E1
3.417153875E0,-1.356261921E1,-2.385855675E1,3.759531403E1
3.438912875E0,-1.353838539E1,-2.390087891E1,3.757716370E1
3.460655875E0,-1.350722885E1,-2.397282219E1,3.754253387E1
3.482431875E0,-1.348357105E1,-2.401351166E1,3.752502823E1
3.504189875E0,-1.345824909E1,-2.405108643E1,3.751005554E1
3.525948875E0,-1.345807838E1,-2.403295326E1,3.752173233E1
3.547707875E0,-1.348137283E1,-2.396412277E1,3.755738068E1
3.569486875E0,-1.347980881E1,-2.394395065E1,3.757080460E1
3.591225875E0,-1.346650887E1,-2.397009468E1,3.755889893E1
