"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.090243000E0,3.040718079E1,-1.379944420E1,4.565357590E1
3.111978000E0,3.039320564E1,-1.373920918E1,4.568105316E1
3.133757000E0,3.041104698E1,-1.376332188E1,4.566191101E1
3.155516000E0,3.037742996E1,-1.366552734E1,4.571362686E1
3.177275000E0,3.040365982E1,-1.370035172E1,4.568576813E1
3.199034000E0,3.043569946E1,-1.375275326E1,4.564866638E1
3.220811000E0,3.044514656E1,-1.374297714E1,4.564532089E1
3.242578000E0,3.043661880E1,-1.370260525E1,4.566312790E1
3.264342000E0,3.043171883E1,-1.366535282E1,4.567756271E1
3.286101000E0,3.044956589E1,-1.368970108E1,4.565837479E1
3.307861000E0,3.047382355E1,-1.373196411E1,4.562948608E1
3.329619000E0,3.048818016E1,-1.374165916E1,4.561698151E1
3.351378000E0,3.049902916E1,-1.374657059E1,4.560825348E1
3.373137000E0,3.051271057E1,-1.374483109E1,4.559962845E1
3.394896000E0,3.049879456E1,-1.369512749E1,4.562387848E1
3.416657000E0,3.048383713E1,-1.363239670E1,4.565265274E1
3.438445000E0,3.049173546E1,-1.363972664E1,4.564519501E1
3.460204000E0,3.049803543E1,-1.362776279E1,4.564455414E1
3.481957000E0,3.050644875E1,-1.361703205E1,4.564213943E1
3.503722000E0,3.052252007E1,-1.362346268E1,4.562947083E1
3.525481000E0,3.053704453E1,-1.363307476E1,4.561688232E1
3.547240000E0,3.050264740E1,-1.353633595E1,4.566866684E1
3.568999000E0,3.050525856E1,-1.352646255E1,4.566984558E1
3.590763000E0,3.051634598E1,-1.352630234E1,4.566249466E1
3.612529000E0,3.053508186E1,-1.354102898E1,4.564559174E1
3.634306000E0,3.052958679E1,-1.349593639E1,4.566262436E1
3.656575417E0,3.049767303E1,-1.339579010E1,4.571341705E1
3.678335417E0,3.050362015E1,-1.339140987E1,4.571072388E1
3.700094417E0,3.050583649E1,-1.336473370E1,4.571705246E1
3.721838417E0,3.052764702E1,-1.338022995E1,4.569795990E1
3.743612417E0,3.049443054E1,-1.328224564E1,4.574869919E1
3.765371417E0,3.050480652E1,-1.328752995E1,4.574023438E1
3.787131417E0,3.053407860E1,-1.334244728E1,4.570471191E1
3.808909417E0,3.057188416E1,-1.334900665E1,4.567751312E1
3.830678417E0,3.047003937E1,-1.329688835E1,4.576069260E1
3.852437417E0,3.041036606E1,-1.325861931E1,4.581147003E1
