,Time (s),X (µT),Y (µT),Z (µT)
230,5005061500.0,-10.83775043,-25.33613777,36.91479111
231,5026820500.0,-10.85849094,-25.26725769,36.95587921
232,5048587500.0,-10.88349438,-25.1822567,37.00651169
233,5070331500.0,-10.90402222,-25.11339188,37.04724884
234,5092098500.0,-10.83880711,-25.23510551,36.98361588
235,5113856500.0,-10.79004669,-25.35457802,36.91609955
236,5135615500.0,-10.75660992,-25.40642548,36.8902092
237,5157399500.0,-10.72916317,-25.45695305,36.86335754
238,5179164500.0,-10.66212082,-25.59092331,36.78997803
239,5200923500.0,-10.61928272,-25.67869377,36.74117279
240,5222682500.0,-10.58215332,-25.74505997,36.70542526
241,5244441500.0,-10.57686329,-25.76166725,36.69529724
242,5266200500.0,-10.54745674,-25.80721283,36.67175293
243,5287959500.0,-10.52330208,-25.83645248,36.65810013
244,5309718500.0,-10.54372501,-25.76909065,36.69961548
245,5331477500.0,-10.56305885,-25.70250702,36.7407341
246,5353243500.0,-10.56030273,-25.68666077,36.75260544
247,5374995500.0,-10.5526228,-25.71965981,36.7317276
248,5396755500.0,-10.55419064,-25.69606781,36.74778366
249,5418521500.0,-10.55343437,-25.67781448,36.76075745
250,5440298500.0,-10.53655052,-25.68655777,36.75949478
251,5462063500.0,-10.53728771,-25.66365814,36.77527237
252,5483821500.0,-10.52181053,-25.68832016,36.7624855
253,5505580500.0,-10.52668858,-25.66008186,36.78080368
254,5527322500.0,-10.54895878,-25.59257698,36.82143402
255,5549083500.0,-10.5748148,-25.50813484,36.87257385
256,5570857500.0,-10.59449863,-25.441082,36.9132309
257,5592617500.0,-10.56931305,-25.47482491,36.89717484
258,5614375500.0,-10.51577377,-25.58774376,36.83427811
259,5636134500.0,-10.50621986,-25.59899712,36.82918167
260,5657906500.0,-10.52863503,-25.53048325,36.87032318
261,5679653500.0,-10.5493021,-25.46255493,36.91136551
262,5701411500.0,-10.57083035,-25.39517975,36.95160294
263,5723201500.0,-10.49388409,-25.55216026,36.86521149
264,5744960500.0,-10.44603348,-25.63484001,36.8213768
265,5766719500.0,-10.53757095,-25.54011917,36.86109543
266,5788459500.0,-10.91035366,-25.331604,36.89651489
267,5810237500.0,-11.19411087,-25.16999054,36.92210388
268,5831996500.0,-11.21323586,-25.03419113,37.00852966
269,5853755500.0,-11.44925308,-24.56514168,37.24979019
270,5875514500.0,-11.66021252,-23.69274139,37.74615097
271,5897274500.0,-12.11698151,-20.97216225,39.18450928
272,5919047500.0,-14.96125412,-17.75366783,39.78751755
273,5940791500.0,-19.27078819,-17.26760674,38.11226654
274,5962558500.0,-26.34950638,-17.62371063,33.42434311
275,5984309500.0,-34.59892654,-17.22408867,25.06638145
276,6006099500.0,-39.42037201,-16.35731125,17.33640671
277,6027858500.0,-42.95080566,-16.29093742,3.451434135
278,6049593500.0,-41.61074448,-18.35859108,-7.320291042
279,6071377500.0,-37.66653442,-20.67938614,-16.60342407
280,6093135500.0,-32.10364532,-21.90219879,-24.73313522
281,6114894500.0,-26.71781921,-22.02697754,-30.38171959
282,6136653500.0,-18.98159981,-21.7720089,-35.88533401
283,6158412500.0,-10.15743065,-22.43737411,-38.92903137
284,6180172500.0,-5.500680447,-24.12971687,-38.85328293
285,6201930500.0,-3.159788132,-25.84751892,-38.0
286,6223689500.0,0.2374191284,-28.97779083,-35.80935287
287,6245441500.0,1.750783443,-30.54944229,-34.43464279
288,6267239500.0,3.293954849,-31.97492599,-32.99745941
289,6288987500.0,4.504658222,-32.99204254,-31.83255768
290,6310756500.0,5.392460346,-34.11201477,-30.48558044
291,6332515500.0,5.756186485,-34.83943939,-29.58307648
292,6354283500.0,6.03191185,-35.24017715,-29.04866028
293,6376033500.0,6.67054081,-35.68162537,-28.36201477
294,6397783500.0,7.03309679,-36.14990997,-27.67305374
295,6419551500.0,7.989112854,-36.7509079,-26.60119247
296,6441310500.0,8.709596634,-37.05368805,-25.94698334
297,6463070500.0,8.93132019,-37.21498489,-25.63893509
298,6484828500.0,8.922931671,-37.35477066,-25.43778229
299,6506587500.0,8.703019142,-37.64397812,-25.08518982
300,6528350500.0,8.850389481,-38.06385803,-24.39039993
301,6550111500.0,9.183048248,-38.5014267,-23.56672287
302,6571895500.0,9.216247559,-38.59600449,-23.39845467
303,6593655500.0,8.873173714,-38.68123245,-23.39033508
304,6615413500.0,8.420022964,-38.75257492,-23.43970108
305,6637173500.0,8.21350956,-38.8404808,-23.36736679
306,6658920500.0,8.076766968,-38.85406494,-23.39243698
307,6680684500.0,8.001259804,-38.79499817,-23.51609039
308,6702449500.0,7.970330238,-38.65019608,-23.7637291
309,6724208500.0,8.084760666,-38.90206909,-23.30974579
310,6745967500.0,7.967181206,-39.38275146,-22.53000832
311,6767726500.0,8.051040649,-39.58023453,-22.15093994
312,6789498500.0,8.206668854,-39.78290558,-21.72669601
313,6811275500.0,8.208791733,-39.78642273,-21.71945572
314,6833034500.0,8.116559982,-39.8119812,-21.70728493
315,6854794500.0,8.009449959,-39.99603653,-21.40663719
316,6876553500.0,7.899471283,-40.18480682,-21.09165955
317,6898311500.0,8.018465996,-40.40489197,-20.62104034
318,6920071500.0,7.974223614,-40.43919373,-20.57090569
319,6941830500.0,7.916949272,-40.48983765,-20.4932518
320,6963588500.0,7.800685883,-40.54995728,-20.41883659
321,6985347500.0,7.712351322,-40.61331558,-20.32625771
322,7007106500.0,7.613206387,-40.67556763,-20.23897171
323,7028865500.0,7.472837448,-40.6924057,-20.25742722
324,7050630500.0,7.30809164,-40.64720535,-20.40772247
325,7072413500.0,7.280539036,-40.66365814,-20.38477325
326,7094174500.0,7.177441597,-40.59631348,-20.55486107
327,7115932500.0,7.32473135,-40.3684082,-20.94799042
328,7137690500.0,7.392697334,-40.4426651,-20.78022003
329,7159451500.0,7.40102005,-40.55527496,-20.55657196
