"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.895006542E0,-1.511304283E1,-2.293695641E1,4.343536377E1
2.916778542E0,-1.510316944E1,-2.294241142E1,4.343590927E1
2.938537542E0,-1.509484196E1,-2.294939613E1,4.343511963E1
2.960302542E0,-1.508901691E1,-2.295385742E1,4.343478394E1
2.982055542E0,-1.507766628E1,-2.295808220E1,4.343649292E1
3.003814542E0,-1.508511353E1,-2.292270851E1,4.345258331E1
3.025573542E0,-1.507460976E1,-2.293202209E1,4.345131302E1
3.047332542E0,-1.506231976E1,-2.294150352E1,4.345056915E1
3.069123542E0,-1.505081749E1,-2.295125580E1,4.344940567E1
3.090881542E0,-1.503561783E1,-2.298001671E1,4.343946838E1
3.112640542E0,-1.502280521E1,-2.298195839E1,4.344287491E1
3.134399542E0,-1.501553440E1,-2.298801613E1,4.344218445E1
3.156167542E0,-1.502614498E1,-2.295065308E1,4.345826340E1
3.177917542E0,-1.501765537E1,-2.296082115E1,4.345582962E1
3.199706542E0,-1.500820637E1,-2.297181511E1,4.345328903E1
3.221465542E0,-1.499958801E1,-2.297380066E1,4.345521164E1
3.243224542E0,-1.498462772E1,-2.298798943E1,4.345286560E1
3.264983542E0,-1.499004459E1,-2.295802116E1,4.346683884E1
3.286758542E0,-1.496794891E1,-2.298909378E1,4.345802689E1
3.308501542E0,-1.495881844E1,-2.299432564E1,4.345841217E1
3.330261542E0,-1.494865608E1,-2.299995804E1,4.345892715E1
3.352040542E0,-1.493132877E1,-2.303031921E1,4.344879913E1
3.373809542E0,-1.491961956E1,-2.303881073E1,4.344831848E1
3.395552542E0,-1.491110802E1,-2.304174042E1,4.344968796E1
3.417326542E0,-1.490201759E1,-2.306473160E1,4.344061279E1
3.439086542E0,-1.489336300E1,-2.306550980E1,4.344316101E1
3.460840542E0,-1.489645767E1,-2.304821587E1,4.345127869E1
3.482604542E0,-1.488727188E1,-2.305581093E1,4.345039749E1
3.504394542E0,-1.487778187E1,-2.305565643E1,4.345373535E1
3.526147542E0,-1.487227535E1,-2.305463409E1,4.345616531E1
3.547920542E0,-1.485247707E1,-2.307692337E1,4.345109940E1
3.569671542E0,-1.484451103E1,-2.308185959E1,4.345119476E1
3.591430542E0,-1.483371830E1,-2.308742523E1,4.345193100E1
3.613189542E0,-1.482879734E1,-2.308796501E1,4.345331573E1
3.634948542E0,-1.482551098E1,-2.307149315E1,4.346319199E1
3.656737542E0,-1.482349968E1,-2.305592155E1,4.347213364E1
3.678497542E0,-1.481389046E1,-2.306138992E1,4.347251511E1
3.700256542E0,-1.482005787E1,-2.302891159E1,4.348762894E1
3.722015542E0,-1.481992817E1,-2.301663589E1,4.349416351E1
3.743774542E0,-1.481106186E1,-2.302574158E1,4.349237061E1
3.765541542E0,-1.479826641E1,-2.303975105E1,4.348930740E1
3.787292542E0,-1.479643631E1,-2.303091812E1,4.349460983E1
3.809081542E0,-1.480287933E1,-2.299936295E1,4.350910950E1
3.830840542E0,-1.478920174E1,-2.301478577E1,4.350560379E1
3.852585542E0,-1.476807404E1,-2.305225182E1,4.349293900E1
3.874358542E0,-1.475729084E1,-2.307045174E1,4.348695374E1
3.896130542E0,-1.473455429E1,-2.310173035E1,4.347805405E1
3.917876542E0,-1.472566032E1,-2.310437393E1,4.347966766E1
3.939635542E0,-1.471716309E1,-2.310630417E1,4.348151779E1
3.961405542E0,-1.470797443E1,-2.311208916E1,4.348155212E1
3.983185542E0,-1.470339870E1,-2.311746407E1,4.348023987E1
4.004943542E0,-1.470823860E1,-2.308902359E1,4.349371338E1
4.026713542E0,-1.469349957E1,-2.310941696E1,4.348786163E1
4.048450542E0,-1.467981529E1,-2.311869049E1,4.348755646E1
4.070216542E0,-1.467188072E1,-2.312168694E1,4.348864365E1
4.092010542E0,-1.467293835E1,-2.310014915E1,4.349972534E1
4.113770542E0,-1.466252899E1,-2.310819435E1,4.349897003E1
4.135528542E0,-1.464785099E1,-2.312319756E1,4.349593353E1
4.157295542E0,-1.465436840E1,-2.309298515E1,4.350979614E1
4.179046542E0,-1.463243103E1,-2.312140846E1,4.350207520E1
4.200805542E0,-1.463206196E1,-2.310529327E1,4.351076126E1
4.222565542E0,-1.461934280E1,-2.311796188E1,4.350830841E1
4.244354542E0,-1.460670090E1,-2.313663101E1,4.350263596E1
4.266113542E0,-1.463302612E1,-2.305980873E1,4.353456497E1
4.287877542E0,-1.459915161E1,-2.310988235E1,4.351938629E1
4.309631542E0,-1.458269882E1,-2.312842560E1,4.351504898E1
4.331390542E0,-1.456620598E1,-2.315194321E1,4.350806046E1
4.353170542E0,-1.454185867E1,-2.319460678E1,4.349348450E1
4.374908542E0,-1.452642727E1,-2.321246529E1,4.348910904E1
4.396698542E0,-1.452045250E1,-2.320709991E1,4.349396896E1
4.418456542E0,-1.451038361E1,-2.321532440E1,4.349294281E1
4.440215542E0,-1.450044537E1,-2.321642685E1,4.349567032E1
4.461974542E0,-1.448994827E1,-2.321705818E1,4.349882507E1
4.483733542E0,-1.447651386E1,-2.323722458E1,4.349253464E1
4.505492542E0,-1.446975899E1,-2.323995590E1,4.349332428E1
4.527252542E0,-1.445944214E1,-2.324146271E1,4.349594116E1
4.549042542E0,-1.445572948E1,-2.322595596E1,4.350546646E1
4.570800542E0,-1.445030594E1,-2.322550201E1,4.350750351E1
4.592560542E0,-1.444696903E1,-2.322167206E1,4.351066208E1
4.614319542E0,-1.444992256E1,-2.320236588E1,4.351997375E1
4.636077542E0,-1.444146919E1,-2.320462227E1,4.352158356E1
4.657857542E0,-1.444678879E1,-2.317873955E1,4.353360367E1
4.679626542E0,-1.443217564E1,-2.320123100E1,4.352647018E1
4.701379542E0,-1.442125988E1,-2.321595383E1,4.352223587E1
4.723144542E0,-1.440959263E1,-2.323414421E1,4.351639938E1
4.744893542E0,-1.441621876E1,-2.320492172E1,4.352979279E1
4.766662542E0,-1.440333748E1,-2.322095490E1,4.352550888E1
4.788443542E0,-1.437981319E1,-2.326136398E1,4.351170731E1
4.810180542E0,-1.436889362E1,-2.327786827E1,4.350648499E1
4.831969542E0,-1.435933876E1,-2.329156685E1,4.350231171E1
4.853712542E0,-1.434421539E1,-2.331425476E1,4.349514389E1
4.875488542E0,-1.433765411E1,-2.331640625E1,4.349614716E1
4.897238542E0,-1.433234119E1,-2.331730652E1,4.349742126E1
4.919017542E0,-1.431556320E1,-2.333543587E1,4.349322128E1
4.940765542E0,-1.430933571E1,-2.333681488E1,4.349453735E1
4.962525542E0,-1.430013943E1,-2.334518814E1,4.349306488E1
4.984313542E0,-1.428951359E1,-2.335393524E1,4.349185562E1
5.006072542E0,-1.429718590E1,-2.332309723E1,4.350588226E1
5.027819542E0,-1.428657436E1,-2.333495903E1,4.350300980E1
5.049587542E0,-1.427676964E1,-2.334126282E1,4.350284576E1
5.071349542E0,-1.426818180E1,-2.334381485E1,4.350429535E1
5.093108542E0,-1.427213192E1,-2.330823708E1,4.352207184E1
5.114898542E0,-1.427257442E1,-2.329567909E1,4.352864838E1
5.136657542E0,-1.425914574E1,-2.330259705E1,4.352934647E1
5.158398542E0,-1.425248623E1,-2.329093742E1,4.353776932E1
5.180176542E0,-1.423730278E1,-2.329614258E1,4.353995514E1
5.201935542E0,-1.424313545E1,-2.326307678E1,4.355572128E1
