"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.459151000E0,-6.998273134E-1,2.906240702E0,1.487607479E0
2.480912000E0,-1.419498205E0,5.391521931E0,1.869034767E0
2.503213000E0,-2.729602098E0,7.041100025E0,1.359741688E0
2.524973000E0,-3.075234175E0,7.140743732E0,1.244146943E0
2.546731000E0,-2.626427650E0,8.199375153E0,1.331466198E0
2.568491000E0,-2.043033123E0,1.019580078E1,1.516944289E0
2.590259000E0,-9.652429819E-1,1.049152088E1,1.719959140E0
2.612009000E0,3.938780725E-1,9.644738197E0,1.951996922E0
2.633790000E0,1.488508344E0,9.585125923E0,7.086196542E-1
2.655531000E0,2.072947979E0,9.825916290E0,-5.329487324E-1
2.677311000E0,1.621775985E0,9.036956787E0,-1.177343726E0
2.699076000E0,1.045416355E0,7.680654049E0,-1.925647259E0
2.720835000E0,1.068318963E0,7.907271385E0,-2.284553766E0
2.742593000E0,1.364505529E0,8.801248550E0,-2.095296144E0
2.764362000E0,1.717594862E0,9.041925430E0,-1.892003417E0
2.786096000E0,2.038435936E0,8.991107941E0,-1.667313218E0
2.807870000E0,3.079096675E-1,7.944815159E0,-6.516236663E-1
2.829629000E0,-1.526457667E0,-1.821908712E0,9.548350573E-1
2.851388000E0,-5.013260841E-1,1.191815376E0,1.784532517E-1
2.873178000E0,-8.838938922E-2,1.042902946E0,2.620927095E-1
2.894938000E0,2.136761546E-1,1.598979115E0,3.712023795E-1
2.916696000E0,-2.705952823E-1,3.063930273E0,3.364063203E-1
2.938455000E0,-7.599332929E-1,4.140461922E0,6.671053767E-1
2.960215000E0,-7.570413947E-1,3.879795551E0,9.238409996E-1
2.981978000E0,-4.980692267E-1,2.616755486E0,1.099630117E0
3.003733000E0,1.968367696E-1,1.481834769E0,1.039992809E0
3.025510000E0,4.059573114E-1,8.116042018E-1,7.344105244E-1
3.047281000E0,-4.661662877E-2,7.134535313E-1,7.757762074E-1
3.069040000E0,-2.605444193E-1,8.712864518E-1,1.077205062E0
3.090799000E0,2.092781812E-1,6.785032749E-1,1.044095755E0
3.112558000E0,5.338956118E-1,3.048702180E-1,6.747270226E-1
3.134309000E0,2.996929586E-1,2.942574024E-1,3.803251386E-1
3.156076000E0,6.959579140E-2,2.424915582E-1,6.257969737E-1
3.177835000E0,2.209985852E-1,-2.630841136E-1,9.428811073E-1
3.199594000E0,5.362619758E-1,-7.978206277E-1,9.168428779E-1
3.221385000E0,9.280083179E-1,-1.244772196E0,8.584002852E-1
3.243143000E0,1.261376977E0,-1.587992430E0,8.056102991E-1
3.264905000E0,1.041924477E0,-1.524379492E0,7.148544788E-1
3.286645000E0,4.836151302E-1,-1.072591186E0,5.828956366E-1
3.308421000E0,1.367782801E-1,-7.185820937E-1,4.663048387E-1
3.330179000E0,3.883108795E-1,-7.389854789E-1,3.219178021E-1
3.351938000E0,8.715450764E-1,-7.810546756E-1,4.105600715E-2
3.373697000E0,8.679035306E-1,-7.261290550E-1,-3.026342690E-1
3.395470000E0,4.570339024E-1,-4.994325936E-1,-3.855739236E-1
3.417246000E0,9.098148942E-1,-9.517616034E-1,-3.698626459E-1
3.439004000E0,8.959975839E-1,-7.064755559E-1,-5.192715526E-1
3.460763000E0,4.729644954E-1,-9.098644257E-1,-2.950326800E-1
3.482511000E0,1.112000942E-1,-8.382566571E-1,-1.265212987E-2
3.504283000E0,4.686868489E-1,-7.930871248E-1,3.609380871E-2
3.526041000E0,7.158880234E-1,-6.745393276E-1,5.301954807E-4
3.547800000E0,8.326247334E-1,-6.354221106E-1,-1.730871648E-1
3.569559000E0,7.986723781E-1,-4.742298722E-1,-6.318678707E-2
3.591334000E0,5.585737228E-1,-1.876108050E-1,1.718999892E-1
3.613102000E0,2.573190033E-1,2.248515040E-1,2.023156732E-1
3.634866000E0,1.794342548E-1,4.132785499E-1,7.290065289E-2
3.656617000E0,2.054182142E-1,2.278118730E-1,-1.150229424E-1
3.678389000E0,1.453795880E-1,-3.758902475E-2,-1.203098819E-1
3.700143000E0,2.027384490E-1,-3.669115305E-1,2.379758097E-2
3.721902000E0,1.946980655E-1,-4.980994761E-1,8.200520277E-2
3.743661000E0,1.618708372E-1,-4.655595124E-1,4.405982792E-3
3.765451000E0,2.267976254E-1,-4.223999977E-1,4.035906866E-3
3.787197000E0,1.992538571E-1,-4.496980309E-1,3.281665966E-2
3.814407000E0,7.947487384E-2,-1.376371235E-1,-1.186624914E-1
3.836160000E0,-1.250283122E-1,1.732345521E-1,-2.724781036E-1
3.857919000E0,-2.778627574E-1,1.576690525E-1,-3.583480120E-1
3.879678000E0,-1.751947701E-1,5.109936371E-2,-3.108531237E-1
3.901468000E0,1.067818329E-2,-1.263139099E-1,-1.774641871E-1
