"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.199385083E0,-3.445778787E-2,-5.713610649E-1,9.166691303E-1
3.221145083E0,4.338503629E-2,-6.188746095E-1,1.017564893E0
3.242897083E0,5.965685248E-1,-1.924708486E0,-8.604241163E-2
3.264662083E0,5.455221534E-1,-4.890407562E0,-1.505110741E0
3.286415083E0,-2.324559391E-1,-7.168418407E0,-1.884903908E0
3.308180083E0,-5.524720550E-1,-7.959437847E0,-5.354356766E-1
3.329939083E0,-3.426443413E-2,-6.688160896E0,1.348681808E0
3.351699083E0,7.481749058E-1,-4.878350735E0,2.234673977E0
3.373453083E0,8.403895497E-1,-5.216235161E0,2.140063524E0
3.395216083E0,2.176556140E-1,-7.125356674E0,1.331914186E0
3.416975083E0,-9.310981631E-1,-8.398767471E0,1.326344013E0
3.438735083E0,-1.622543812E0,-7.237813473E0,1.830286145E0
3.460525083E0,-8.975336552E-1,-5.847335815E0,1.472981334E0
3.482266083E0,6.953745484E-1,-6.140206337E0,1.415560246E-1
3.504038083E0,1.860224128E0,-7.243841171E0,-5.994834006E-2
3.525801083E0,2.470775127E0,-7.255244732E0,6.083071828E-1
3.547560083E0,2.528702974E0,-7.231498241E0,1.474878669E0
3.569310083E0,2.363752842E0,-6.957248211E0,1.703909755E0
3.591078083E0,2.126824617E0,-5.906277657E0,1.467260957E0
3.612837083E0,1.888935804E0,-5.140049934E0,6.753340960E-1
3.634598083E0,1.223616838E0,-4.095790863E0,3.653850853E-1
3.656355083E0,2.306164354E-1,-3.134222746E0,1.485016823E0
3.678128083E0,3.617608249E-1,-2.685730219E0,1.183156848E0
3.699874083E0,4.856821895E-1,-2.394548178E0,7.436378002E-1
3.721632083E0,2.853322327E-1,-2.531634808E0,7.761110663E-1
3.743422083E0,4.473032355E-1,-2.505909681E0,5.606676936E-1
3.765174083E0,5.561569333E-1,-2.060207605E0,3.221352696E-1
3.786940083E0,6.358997822E-1,-1.495656729E0,2.608995736E-1
3.808699083E0,8.201020360E-1,-1.846660733E0,6.669841707E-2
3.830458083E0,8.813548684E-1,-2.422284603E0,-1.306540668E-1
3.852217083E0,4.069050252E-1,-1.795761228E0,7.086518407E-2
3.873967083E0,5.864132196E-2,-5.036414266E-1,4.753420651E-1
3.895723083E0,8.742045611E-2,-1.907869428E-1,3.846531808E-1
3.917495083E0,4.005124420E-2,-3.356113434E-1,2.263010889E-1
3.939253083E0,1.033502743E-1,-6.612702608E-1,1.583289504E-1
3.961012083E0,1.772116870E-1,-4.050455093E-1,2.618499994E-1
3.982795083E0,3.793991506E-1,9.044663608E-2,3.996805847E-1
4.004530083E0,6.180335879E-1,6.228223443E-1,3.279549479E-1
4.026319083E0,5.988793969E-1,7.665804029E-1,3.265233040E-1
4.048078083E0,5.223376751E-1,8.447214365E-1,2.707734704E-1
4.069815083E0,4.180216193E-1,7.017233968E-1,2.409732193E-1
4.091597083E0,2.653643191E-1,4.820172787E-1,2.465229928E-1
4.113356083E0,1.130602285E-1,3.427463770E-1,2.189126462E-1
4.135116083E0,-1.018036157E-1,3.920553923E-1,2.552020252E-1
4.156875083E0,-1.188359112E-1,4.001755416E-1,3.557965457E-1
4.178633083E0,1.960878968E-1,2.825992405E-1,3.648635149E-1
4.200393083E0,6.339827180E-2,4.325475693E-1,2.769798040E-1
4.222151083E0,-6.044143438E-2,2.407348603E-1,1.416667253E-1
4.243910083E0,-1.301548779E-1,1.807775348E-1,3.019672073E-2
4.265669083E0,-2.030266672E-1,2.385474741E-1,8.952767402E-2
4.287456083E0,-1.508969814E-1,1.965482384E-1,7.508623600E-2
4.309217083E0,-1.010383889E-1,1.524717361E-1,-2.075406956E-3
4.330976083E0,-5.796089023E-2,9.734103084E-2,-1.032714918E-1
4.352735083E0,-7.942117006E-2,1.330690533E-1,-8.539716154E-2
