"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.371888000E0,3.081194305E1,-2.839765930E1,-2.783167839E1
2.393647000E0,3.091743851E1,-2.827660370E1,-2.783794403E1
2.415390000E0,3.118907928E1,-2.819986153E1,-2.761185837E1
2.437165000E0,3.152933121E1,-2.816260529E1,-2.726122665E1
2.458925000E0,3.180965424E1,-2.814628029E1,-2.695066452E1
2.480683000E0,3.192594147E1,-2.816940689E1,-2.678850937E1
2.502443000E0,3.190225029E1,-2.840361404E1,-2.656853104E1
2.524202000E0,3.179493713E1,-2.890933228E1,-2.614838600E1
2.545973000E0,3.172047997E1,-2.944352722E1,-2.563777161E1
2.567732000E0,3.184348297E1,-2.982717896E1,-2.503472519E1
2.589478000E0,3.208012390E1,-2.981161499E1,-2.474951744E1
2.611255875E0,3.215814590E1,-2.981682968E1,-2.464175034E1
2.633035875E0,3.205796814E1,-3.007055855E1,-2.446331406E1
2.654794875E0,3.205542374E1,-3.048777199E1,-2.394474411E1
2.676549875E0,3.219743347E1,-3.006207466E1,-2.428996277E1
2.698317875E0,3.264739990E1,-3.001341438E1,-2.374337387E1
2.720076875E0,3.285548782E1,-3.001764297E1,-2.344916153E1
2.741835875E0,3.294103241E1,-3.030476570E1,-2.295462418E1
2.763594875E0,3.306222916E1,-3.049653816E1,-2.252233505E1
2.785353875E0,3.315392303E1,-3.036428261E1,-2.256618881E1
2.807117875E0,3.338346863E1,-3.006612587E1,-2.262692261E1
2.828872875E0,3.343247223E1,-3.004860306E1,-2.257778931E1
2.850630875E0,3.351889038E1,-3.002746582E1,-2.247755814E1
